,Pim Latency (ns),Buffer Latency (ns),Digital Latency (ns),Computing Latency (ns),Intra-Tile Latency (ns),Inter-Tile Latency (ns),One Layer Merge Latency (ns),Model,Systolic_Array_latency
5,36191,28160.0,343.945472,894.24082176,17.0,17016.4,13944.4,1-gpt2-small,744240
4,39679,28160.0,343.945472,894.24082176,17.0,20504.0,15179.2,2-gpt2-medium,992320
6,58530,28160.0,343.945472,894.24082176,17.0,39355.6,17237.2,2-opt-350m,992320
11,46642,28160.0,343.945472,894.24082176,17.0,27467.2,16002.4,3-gpt2-large,1240400
9,61010,28160.0,343.945472,894.24082176,17.0,41835.2,21764.800000000003,4-gpt2-xl,1550500
3,118783,28160.0,343.945472,894.24082176,17.0,99608.8,26704.000000000004,3-opt-1b3m,1984640
8,153840,28160.0,343.945472,894.24082176,17.0,134665.6,33289.6,4-opt-2b7m,2496000
0,312614,28160.0,343.945472,894.24082176,17.0,293439.6,44402.8,5-opt-6b7m,3335040
10,233859,28160.0,343.945472,894.24082176,17.0,214684.0,42344.8,1-llama-7b,3335040
1,334142,28160.0,343.945472,894.24082176,17.0,314967.6,49342.0,2-llama-13b,4168800
2,456010,28160.0,343.945472,894.24082176,17.0,436835.6,51811.600000000006,6-opt-13b,4168800
7,829232,28160.0,343.945472,894.24082176,17.0,810057.2,67452.40000000001,7-opt-30b,5836320
